               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.021455,           0.0081396,          0.00056662,             0.93861,             0.84277,             0.87756,             0.52791,             0.02484,           0.0054434,          0.00081806,           0.0012875,           0.0012875,           0.0012875
                 101,            0.021914,           0.0081046,          0.00065243,             0.95512,             0.83781,             0.87639,             0.52482,            0.024954,           0.0054287,          0.00083797,             0.00125,             0.00125,             0.00125
                 102,             0.02157,           0.0079237,          0.00057129,              0.9624,             0.82871,             0.88388,             0.52464,             0.02475,           0.0054121,           0.0009433,           0.0012125,           0.0012125,           0.0012125
                 103,            0.021923,            0.008387,          0.00053101,              0.9321,             0.83913,             0.88133,             0.52664,            0.024868,           0.0054576,           0.0010652,            0.001175,            0.001175,            0.001175
                 104,            0.021005,           0.0079985,          0.00055322,             0.94129,              0.8429,              0.8703,             0.51844,            0.024773,           0.0054314,           0.0010065,           0.0011375,           0.0011375,           0.0011375
                 105,            0.021558,           0.0080002,          0.00056558,             0.96488,              0.8423,             0.88542,             0.51877,            0.024895,           0.0054074,          0.00091532,              0.0011,              0.0011,              0.0011
                 106,            0.021124,           0.0081538,          0.00060863,             0.94625,             0.84882,             0.88023,             0.52392,            0.024846,           0.0055439,          0.00090011,           0.0010625,           0.0010625,           0.0010625
                 107,            0.021253,           0.0080863,          0.00050808,              0.9559,             0.85266,             0.89124,             0.52528,            0.024658,           0.0054418,          0.00085187,            0.001025,            0.001025,            0.001025
                 108,            0.020977,           0.0081495,          0.00061626,             0.94838,             0.84008,             0.87448,             0.52541,             0.02487,           0.0054641,          0.00094057,           0.0009875,           0.0009875,           0.0009875
                 109,            0.020762,           0.0080612,           0.0005548,             0.94286,                0.85,             0.87022,             0.51894,            0.025181,           0.0053776,          0.00091711,             0.00095,             0.00095,             0.00095
                 110,            0.020754,           0.0077716,          0.00050332,              0.9445,             0.84066,             0.87655,             0.52828,            0.024552,           0.0053831,          0.00090228,           0.0009125,           0.0009125,           0.0009125
                 111,            0.021032,           0.0077709,          0.00057471,             0.96133,             0.84667,             0.88839,             0.53585,            0.024193,           0.0053361,           0.0007605,            0.000875,            0.000875,            0.000875
                 112,            0.020719,           0.0077723,          0.00052215,             0.92633,             0.85359,             0.88114,             0.53439,            0.024344,           0.0054104,          0.00076574,           0.0008375,           0.0008375,           0.0008375
                 113,            0.020566,           0.0077347,          0.00047707,             0.95124,             0.84159,             0.89007,              0.5496,            0.023632,            0.005374,          0.00075426,              0.0008,              0.0008,              0.0008
                 114,            0.020367,           0.0076527,          0.00054241,              0.9556,             0.85483,             0.89273,             0.54349,            0.024004,           0.0052981,          0.00077886,           0.0007625,           0.0007625,           0.0007625
                 115,            0.020629,            0.007635,          0.00045683,             0.96412,             0.82899,             0.88631,             0.54042,             0.02402,           0.0052893,          0.00075657,            0.000725,            0.000725,            0.000725
                 116,            0.020359,           0.0077789,          0.00043173,             0.94353,             0.84894,             0.88641,             0.54385,            0.023863,            0.005284,          0.00076622,           0.0006875,           0.0006875,           0.0006875
                 117,            0.020433,           0.0079459,          0.00043447,             0.93158,             0.86038,             0.88432,             0.54218,            0.023892,           0.0052972,          0.00080592,             0.00065,             0.00065,             0.00065
                 118,             0.02082,           0.0077757,          0.00054644,             0.93996,             0.84539,             0.88648,             0.54624,            0.023929,           0.0052979,          0.00090673,           0.0006125,           0.0006125,           0.0006125
                 119,            0.020401,            0.007703,           0.0004378,             0.93227,             0.85316,             0.88682,             0.54721,            0.023667,           0.0052318,           0.0008336,            0.000575,            0.000575,            0.000575
